;class;message;not_stemmed;stemmed
0;ham;Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...;go until juron point crazy available only in bugis n great world la e buffet cine there got amore wat;go juron point crazi avail bugi n great world la e buffet cine got amor wat
1;ham;Ok lar... Joking wif u oni...;ok lar joking if you on;ok lar joke
2;spam;Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's;free entry in number a wily comp to win fa cup final tits number st may number text fa to number to receive entry question std text rate t c s apply number over number s;free entri number wili comp win fa cup final tit number st may number text fa number receiv entri question std text rate c appli number number
3;ham;U dun say so early hor... U c already then say...;u dun say so early hor you c already then say;u dun say earli hor c alreadi say
4;ham;Nah I don't think he goes to usf, he lives around here though;nah i don t think he goes to us he lives around here though;nah think goe us live around though
5;spam;FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv;freeman hey there darling it s been number week s now and no word back i d like some fun you up for it still tb ok xxx std chas to send moneysymb number to rev;freeman hey darl number week word back like fun still tb ok xxx std cha send moneysymb number rev
6;ham;Even my brother is not like to speak with me. They treat me like aids patent.;even my brother is not like to speak with me they treat me like aids patent;even brother like speak treat like aid patent
7;ham;As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune;as per your request belle belle or minnaminunginte nurungu vietnam has been set as your callertune for all callers press number to copy your friends callertune;per request bell bell minnaminungint nurungu vietnam set callertun caller press number copi friend callertun
8;spam;WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.;winner as a valued network customer you have been selected to received moneysymb number prize reward to claim call number claim code kl number valid number hours only;winner valu network custom select receiv moneysymb number prize reward claim call number claim code kl number valid number hour
9;spam;Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030;had your mobile number months or more you r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on number;mobil number month r entitl updat latest colour mobil camera free call mobil updat co free number
10;ham;I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.;i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today;gonna home soon want talk stuff anymor tonight k cri enough today
11;spam;SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info;six chances to win cash from number to number number pounds text cash number and send to number cost number p day number days number stands apply reply hl number info;six chanc win cash number number number pound text cash number send number cost number p day number day number stand appli repli hl number info
